latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-12.498,141.852,324.7,1,1,2020-07-11,0050,T,80,6.0NRT,296.9,16.7,D
-12.5,141.862,345.6,1,1,2020-07-11,0050,T,93,6.0NRT,297.5,49.5,D
-12.858,141.974,326.5,1,1,2020-07-11,0050,T,82,6.0NRT,297.1,19.9,D
-12.969,142.037,317.5,1,1,2020-07-11,0050,T,59,6.0NRT,297.2,9,D
-12.979,142.045,350.2,1,1,2020-07-11,0050,T,96,6.0NRT,298.6,56,D
-12.994,142.024,320.5,1,1,2020-07-11,0050,T,77,6.0NRT,295.9,12.1,D
-12.996,142.033,324.6,1,1,2020-07-11,0050,T,81,6.0NRT,296.9,16.1,D
-11.951,133.465,317.4,3.8,1.8,2020-07-11,0050,T,70,6.0NRT,293.6,67.4,D
-11.94,133.459,313,3.8,1.8,2020-07-11,0050,T,53,6.0NRT,293.4,41.1,D
-11.957,133.456,313.5,3.8,1.8,2020-07-11,0050,T,48,6.0NRT,293.9,42.3,D
-12.978,135.624,321.9,2.5,1.5,2020-07-11,0050,T,76,6.0NRT,294,49.3,D
-12.882,134.995,312.9,2.8,1.6,2020-07-11,0050,T,60,6.0NRT,295.4,22.8,D
-12.985,135.617,328.5,2.5,1.5,2020-07-11,0050,T,82,6.0NRT,294.1,74.6,D
-12.885,134.988,312.3,2.8,1.6,2020-07-11,0050,T,57,6.0NRT,295.2,21.4,D
-13.093,135.473,313.1,2.5,1.5,2020-07-11,0050,T,56,6.0NRT,293.1,23.5,D
-13.14,135.417,312.6,2.6,1.5,2020-07-11,0050,T,58,6.0NRT,294.6,20.9,D
-13.144,135.441,322,2.6,1.5,2020-07-11,0050,T,75,6.0NRT,294.2,55,D
-13.074,135.097,314.8,2.7,1.6,2020-07-11,0050,T,54,6.0NRT,295.4,25.6,D
-13.136,135.436,327.9,2.6,1.5,2020-07-11,0050,T,81,6.0NRT,294.7,80.8,D
-13.374,135.258,313.9,2.6,1.6,2020-07-11,0050,T,63,6.0NRT,294.4,28.9,D
-13.378,135.25,311.8,2.6,1.6,2020-07-11,0050,T,56,6.0NRT,294.4,20.6,D
-14.027,136.517,315.3,2,1.4,2020-07-11,0050,T,66,6.0NRT,295.8,21.8,D
-14.04,136.515,312.4,2,1.4,2020-07-11,0050,T,41,6.0NRT,296.2,14.3,D
-15.18,141.859,323.6,1,1,2020-07-11,0050,T,75,6.0NRT,295.2,12.7,D
-15.182,141.868,317.1,1,1,2020-07-11,0050,T,52,6.0NRT,297.5,6.4,D
-15.804,144.621,312.5,1.1,1.1,2020-07-11,0050,T,39,6.0NRT,294.9,6.5,D
-15.829,144.661,312.4,1.1,1.1,2020-07-11,0050,T,61,6.0NRT,295.7,6.9,D
-15.794,144.262,312.8,1.1,1,2020-07-11,0050,T,61,6.0NRT,297.4,6.4,D
